tweet, time
@miss_dux Stay tuned :),Thu Oct 19 16:42:29 +0000 2017
@ToryBanknell DM us your order number and we can help!,Thu Oct 19 16:42:11 +0000 2017
@ilovelamode Glossier You ✨,Thu Oct 19 16:41:15 +0000 2017
@BruCampi DM us her order number and we can help!,Thu Oct 19 16:40:41 +0000 2017
@sampea1988 Sorry to hear that! DM us your order number and we can help.,Thu Oct 19 16:39:03 +0000 2017
@tolualyssa DM us and we can help!,Thu Oct 19 16:38:46 +0000 2017
@Rox_Populi Shipping and billing addresses must be in the same country. We'll keep you posted if anything changes!,Thu Oct 19 16:38:31 +0000 2017
👃❣️ via @intothegloss https://t.co/GaC6CboLPk,Thu Oct 19 15:07:29 +0000 2017
@nikkisperry Sorry to hear that. DM us your order number and we'll help!,Thu Oct 19 13:29:15 +0000 2017
@hannahwiggins7 Sorry about that! DM us with your order number and we can help.,Wed Oct 18 18:33:06 +0000 2017
@eniyeokxh Gift cards aren't currently available in the U.K.; but they will be soon! Stay tuned.,Wed Oct 18 18:32:22 +0000 2017
@catrinafarnell We don't currently sell pink pouches individually; but one is included with every Glossier purchase 💕,Wed Oct 18 18:26:22 +0000 2017
@lizbowless Sorry about that! DM us with your GLO number and we'll take care of it ASAP.,Wed Oct 18 18:25:17 +0000 2017
@JoSherwood12 Yes! Just DM us with your order number.,Wed Oct 18 18:24:57 +0000 2017
@greekfor_wisdom @DPD_UK Sorry that happened! DM us your order number and we can help.,Wed Oct 18 18:23:50 +0000 2017
@alicej_t DM us your order number and we can look into it!,Wed Oct 18 18:23:20 +0000 2017
@alutoborski All of our products are sourced consciously and we work with manufacturers that follow the same ideology 👍,Wed Oct 18 18:20:50 +0000 2017
@DeLaetAlicia We are selling all of our products at Colette; excluding Invisible Shield and Glossier merchandise.,Wed Oct 18 18:18:57 +0000 2017
@backinstereo DM us with your order number and we can help!,Wed Oct 18 18:16:37 +0000 2017
@xNoraHugsx Check out https://t.co/BfBxPwF4On for more info ✨,Wed Oct 18 18:16:21 +0000 2017
@DeLaetAlicia Glossier products will be available at Colette until December 20th!,Wed Oct 18 18:07:46 +0000 2017
RT @IntoTheGloss: The duo behind  Santal 33; Axe; and @glossier's new fragrance are as brilliant as you'd imagine;https://t.co/eEtcIZbWC4,Wed Oct 18 15:09:31 +0000 2017
Glossier You ✨Coming soon to a https://t.co/lJPHYSrKkl near you. https://t.co/o0QT9nkVcm,Wed Oct 18 14:51:29 +0000 2017
RT @miss_archer: Ok; I don't want to get carried away as I've had them like; 6 hours; but my new @glossier products are just WOW. Hello; ne…,Wed Oct 18 12:36:30 +0000 2017
@gabic0rtez We've retired the headband to make room for new merchandise coming next year ✨,Tue Oct 17 21:14:17 +0000 2017
@jessmorgg Oh no! DM us your order number and we can help.,Tue Oct 17 21:13:18 +0000 2017
@imsHazz_ DM us your order number and we can help!,Tue Oct 17 20:14:19 +0000 2017
@lovefromcharlie DM us and we can help!,Tue Oct 17 20:12:32 +0000 2017
@CharlotteLucyy Oh no! DM us and we can help.,Tue Oct 17 20:05:00 +0000 2017
@_smellwelsh DM us a selfie and we can recommend your shade!,Tue Oct 17 19:39:16 +0000 2017
@_tasshh_  DM us and we can help!,Tue Oct 17 19:26:21 +0000 2017
💦 https://t.co/YkTl3RfNVl,Tue Oct 17 15:09:11 +0000 2017
@danniiperry_ Stay tuned for more details soon 💕,Mon Oct 16 21:21:25 +0000 2017
@florabynight We'd recommend size Medium 👍,Mon Oct 16 21:21:02 +0000 2017
@LizbethHills @DPD_UK DM us your order number if you still need help and we can look into this 👌,Mon Oct 16 21:15:16 +0000 2017
Brows = brushed ☑️;Skin = moisturized ☑️;Ready for Monday 👍,Mon Oct 16 14:42:16 +0000 2017
@whatelthinks Stay tuned ✨,Sun Oct 15 23:29:03 +0000 2017
@annielistening DM us and we can help!,Sun Oct 15 23:28:45 +0000 2017
@lifesacatwalk_ DM us your order number and we can help!,Sun Oct 15 23:24:10 +0000 2017
@emilynapier87 Rush shipping is currently unavailable; and we'll keep you posted with any updates. Thanks for your patience 👍,Sun Oct 15 20:16:55 +0000 2017
@MaredJarman DM us and we can help 👍,Sun Oct 15 20:15:06 +0000 2017
@Dancinannie68 DM us a screen shot and we can help 👍,Sun Oct 15 20:14:31 +0000 2017
@alisonthursby DM us your order number and correct address - we can help 👍,Sun Oct 15 20:13:34 +0000 2017
@Laurashaw123 DM us your order number and we can help!,Sun Oct 15 19:48:03 +0000 2017
@orlaithaurla DM us with your order number and we can help!,Sun Oct 15 18:20:41 +0000 2017
Good morning! Wake up with model + friend Delilah Parillo https://t.co/jV98Zjimmr,Sun Oct 15 14:19:01 +0000 2017
One for every mood (and bag). https://t.co/66zuogbzj0 https://t.co/4S5pq7METx,Sat Oct 14 21:25:00 +0000 2017
@alxmclsh DM us and we can help!,Sat Oct 14 20:35:16 +0000 2017
@FlissMaidment DM us and we can help :),Sat Oct 14 19:08:04 +0000 2017
@bbymasa DM us and we can help!,Sat Oct 14 19:06:43 +0000 2017
RT @daisymgreen: @glossier 💕🙌🏻 https://t.co/5KV52AvH0R,Sat Oct 14 18:15:52 +0000 2017
@nicoleackman16 Not yet! The billing zip code must match the country where the order is being shipped.,Sat Oct 14 16:38:13 +0000 2017
@InesLCortesao Just responded!,Sat Oct 14 16:21:55 +0000 2017
@catlynch_13 DM us your order number and we can help!,Sat Oct 14 16:12:04 +0000 2017
@maritzaa8_  We've retired our headband to make room for new merchandise coming next year ✨,Sat Oct 14 16:09:37 +0000 2017
RT @MarisaMRivera: had a dream i escaped the end of the world and when i got to a shelter the survival items they gave me were all @glossie…,Sat Oct 14 15:01:14 +0000 2017
Morning 🌹 https://t.co/tixPuWGN9H,Sat Oct 14 14:16:00 +0000 2017
@thewhtribbon DM us and we can help!,Fri Oct 13 17:50:45 +0000 2017
When the office snack delivery drops 😎 https://t.co/QhXAZZLRGl,Fri Oct 13 17:18:00 +0000 2017
Weekend plans 😏 https://t.co/0OAu4ijB3X,Fri Oct 13 16:02:11 +0000 2017
@sallysaysbeauty DM us for more details on our vegan and non-vegan products :),Fri Oct 13 15:36:41 +0000 2017
@36mel78 We accept cash and cards in the Showroom!,Fri Oct 13 15:18:52 +0000 2017
@sawabaka DM us your order confirmation and we can help!,Fri Oct 13 15:06:16 +0000 2017
@clairecbattye Oh no! DM us your order confirmation and we can help.,Fri Oct 13 14:56:25 +0000 2017
Clever artist @gabriellerizzo https://t.co/kyEB3pQi48,Fri Oct 13 12:14:00 +0000 2017
Some of the first Glossier in the U.K 🖖 Greetings. https://t.co/I91kfJ0YYS https://t.co/3sEOUH16Zp,Fri Oct 13 00:45:33 +0000 2017
@Pocket01 DM us your order number and we can help!,Thu Oct 12 20:40:47 +0000 2017
@arualbaker DM us and we can help!,Thu Oct 12 18:54:20 +0000 2017
@JESSSTSE DM us and we can help!,Thu Oct 12 17:30:05 +0000 2017
@YaaLiaBlog DM us your order number and we can help!,Thu Oct 12 15:51:55 +0000 2017
@GigiMcL2809 Sorry to hear that! DM us and we can help.,Thu Oct 12 15:27:15 +0000 2017
@carlyoconnor_x DM us your order number and we can help!,Thu Oct 12 13:34:23 +0000 2017
Sofia Coppola wears Cloud Paint in Puff &lt;3 https://t.co/FaB4gmSSnd,Thu Oct 12 13:17:58 +0000 2017
@beckybecky1 So sorry to hear that! DM us your order number and we'll help.,Thu Oct 12 13:03:49 +0000 2017
